namespace,system_owner_code,publishable,grsf_sourceoftruth,grsf_creation,grsf_licence,source_link,useLimitation
arg_inidep_sqa,inidep,yes,TRUE,from_coordinates,na,https://www.argentina.gob.ar/sites/default/files/sismica.pdf,Source citation https://www.argentina.gob.ar/sites/default/files/sismica.pdf
arg_inidep_sqa_mngmt,inidep,yes,TRUE,from_coordinates,na,https://www.argentina.gob.ar/sites/default/files/sismica.pdf,Source citation https://www.argentina.gob.ar/sites/default/files/sismica.pdf
aus_csiro,csiro,yes,TRUE,none,Copyright,http://www.cmar.csiro.au/geonetwork/srv/en/metadata.show?uuid=urn:cmar.csiro.au:dataset:12887&currTab=full,Copyright © Commonwealth Scientific and Industrial Research Organisation. Any use of copyright material on this website is subject to first receiving consent
aus_cwf,afma,no,TRUE,none,copyright,https://www.afma.gov.au/sustainability-environment/fishing-closures/closure-direction-maps,Copyright Act 1968 (https://www.legislation.gov.au/C1968A00063/latest/versions) source from https://www.afma.gov.au/fisheries/fishing-closures/maps-directions-closures-and-fishing-areas
aus_frdc_chp,frdc,yes,TRUE,from_coordinates,CC BY 4.0,https://www.researchgate.net/publication/313019406_Integrated_approach_to_determining_stock_structure_implications_for_fisheries_management_of_sardine_Sardinops_sagax_in_Australian_waters,"CC BY 4.0 - FRDC. Izzo, Chris & Ward, Timothy & Ivey, Alex & Suthers, Iain & Stewart, John & Sexton, Stuart & Gillanders, Bronwyn. (2017). Integrated approach to determining stock structure: implications for fisheries management of sardine, Sardinops sagax, in Australian waters. Reviews in Fish Biology and Fisheries. 27. 1-18. 10.1007/s11160-017-9468-z."
aus_gov_adw,gov.au,yes,TRUE,none,CC BY 3.0 AU,https://data.gov.au/dataset/ds-ga-0a644b00-1acd-4fa6-bb18-5c4624fff23c/details?q=,"CC BY 3.0 AU - This dataset was originally found on Geoscience Australia ""Offshore Petroleum and Greenhouse Gas Storage Act 2006 - Australian Maritime Boundaries 2020 (AMB2020) - Geodatabase""."
aus_mb,awe,yes,TRUE,none,CC BY 4.0 DEED,http://www.environment.gov.au/fed/catalog/search/resource/downloadData.page?uuid=%7BE6EED98E-2800-424F-A1E9-D489E71E99BB%7D,CC licence https://www.data.gov.au/page/about
aus_nsw_cf,nswdpi,yes,TRUE,from_coordinates,CC BY 4.0,https://www.dpi.nsw.gov.au/fishing/commercial/fisheries,"CC BY 4.0 © State of New South Wales. For current information go to www.nsw.gov.au. The State of New South Wales supports and encourages the reuse of its publicly funded information, and endorses the use of the Australian Governments Open Access and Licensing Framework (AusGOAL)."
aus_pb,awe,yes,TRUE,none,CC BY 4.0 DEED,http://www.environment.gov.au/fed/catalog/search/resource/downloadData.page?uuid=%7BFE2137A8-D746-4DF6-A18C-04B9E9292B13%7D,CC licence https://www.data.gov.au/page/about
aus_qld_cf,qld,yes,TRUE,none,CC BY 4.0,https://www.business.qld.gov.au/industries/farms-fishing-forestry/fisheries/commercial/profile,CC BY 4.0 © The State of Queensland 2024. The Queensland Government supports and encourages the distribution of its material.
aus_sa_cf,pirsa,yes,TRUE,from_coordinates,CC BY 4.0,https://pir.sa.gov.au/primary_industry/commercial_fishing/commercial_fisheries,"CC BY 4.0 - PIRSA. Attribution to: Department of Primary Industries and Regions, the Government of South Australia, Commercial fisheries maps, Sourced on 20.06.2024, https://pir.sa.gov.au/primary_industry/commercial_fishing/commercial_fisheries"
aus_wa,wafic,yes,TRUE,from_coordinates,Copyright,https://www.wafic.org.au/our-industry/interactive-map/,"Copyright - Material on this website, including text and images, is protected by copyright law and is copyright to WAFIC unless credited otherwise. It may not be copied, reproduced, republished, downloaded, posted, broadcast or transmitted in any way except for your own personal, non-commercial use. Prior written consent of the copyright holder must be obtained for any other use of material. No part of this site may be distributed or copied for any commercial purpose or financial gain. All intellectual property rights in relation to this website are reserved and owned by WAFIC."
aus_wa_cmf,wafic,yes,TRUE,from_coordinates,Copyright,https://www.wafic.org.au/our-industry/interactive-map/,"Copyright - Material on this website, including text and images, is protected by copyright law and is copyright to WAFIC unless credited otherwise. It may not be copied, reproduced, republished, downloaded, posted, broadcast or transmitted in any way except for your own personal, non-commercial use. Prior written consent of the copyright holder must be obtained for any other use of material. No part of this site may be distributed or copied for any commercial purpose or financial gain. All intellectual property rights in relation to this website are reserved and owned by WAFIC."
aus_wa_isbsf,wafic,yes,TRUE,from_coordinates,Copyright,https://www.wafic.org.au/our-industry/interactive-map/,"Copyright - Material on this website, including text and images, is protected by copyright law and is copyright to WAFIC unless credited otherwise. It may not be copied, reproduced, republished, downloaded, posted, broadcast or transmitted in any way except for your own personal, non-commercial use. Prior written consent of the copyright holder must be obtained for any other use of material. No part of this site may be distributed or copied for any commercial purpose or financial gain. All intellectual property rights in relation to this website are reserved and owned by WAFIC."
aus_wa_oimf,wafic,yes,TRUE,from_coordinates,Copyright,https://www.wafic.org.au/our-industry/interactive-map/,"Copyright - Material on this website, including text and images, is protected by copyright law and is copyright to WAFIC unless credited otherwise. It may not be copied, reproduced, republished, downloaded, posted, broadcast or transmitted in any way except for your own personal, non-commercial use. Prior written consent of the copyright holder must be obtained for any other use of material. No part of this site may be distributed or copied for any commercial purpose or financial gain. All intellectual property rights in relation to this website are reserved and owned by WAFIC."
aus_wa_pmf,wafic,yes,TRUE,from_coordinates,Copyright,https://www.wafic.org.au/our-industry/interactive-map/,"Copyright - Material on this website, including text and images, is protected by copyright law and is copyright to WAFIC unless credited otherwise. It may not be copied, reproduced, republished, downloaded, posted, broadcast or transmitted in any way except for your own personal, non-commercial use. Prior written consent of the copyright holder must be obtained for any other use of material. No part of this site may be distributed or copied for any commercial purpose or financial gain. All intellectual property rights in relation to this website are reserved and owned by WAFIC."
aus_wa_wcrlf,wafic,yes,TRUE,from_coordinates,Copyright,https://www.wafic.org.au/our-industry/interactive-map/,"Copyright - Material on this website, including text and images, is protected by copyright law and is copyright to WAFIC unless credited otherwise. It may not be copied, reproduced, republished, downloaded, posted, broadcast or transmitted in any way except for your own personal, non-commercial use. Prior written consent of the copyright holder must be obtained for any other use of material. No part of this site may be distributed or copied for any commercial purpose or financial gain. All intellectual property rights in relation to this website are reserved and owned by WAFIC."
can_dfo_cfa,dfo,yes,TRUE,from_coordinates,na,https://www.dfo-mpo.gc.ca/fisheries-peches/commercial-commerciale/atl-arc/snow-crab-crabe-des-neiges-eng.html,Ownership and usage of content provided on this site https://www.dfo-mpo.gc.ca/terms-conditions-avis-eng.htm
can_dfo_hfa,dfo,yes,TRUE,from_coordinates,na,https://www.dfo-mpo.gc.ca/fisheries-peches/ifmp-gmp/herring-hareng/2021/index-eng.html,Ownership and usage of content provided on this site https://www.dfo-mpo.gc.ca/terms-conditions-avis-eng.htm
can_dfo_lfa,dfo,yes,TRUE,from_coordinates,na,https://www.dfo-mpo.gc.ca/fisheries-peches/commercial-commerciale/atl-arc/lobster-homard-eng.html,Ownership and usage of content provided on this site https://www.dfo-mpo.gc.ca/terms-conditions-avis-eng.htm
can_dfo_pfma,dfo,yes,TRUE,from_coordinates,na,https://www.pac.dfo-mpo.gc.ca/fm-gp/maps-cartes/areas-secteurs/index-eng.html#area-table,Ownership and usage of content provided on this site https://www.dfo-mpo.gc.ca/terms-conditions-avis-eng.htm
can_dfo_pgma,dfo,yes,TRUE,from_coordinates,na,https://www.pac.dfo-mpo.gc.ca/fm-gp/mplans/ground-fond-ifmp-pgip-sm-eng.html,Ownership and usage of content provided on this site https://www.dfo-mpo.gc.ca/terms-conditions-avis-eng.htm
can_dfo_rcfa,dfo,yes,TRUE,from_coordinates,na,https://www.dfo-mpo.gc.ca/fisheries-peches.html,Ownership and usage of content provided on this site https://www.dfo-mpo.gc.ca/terms-conditions-avis-eng.htm
can_dfo_rsau,dfo,yes,TRUE,from_coordinates,na,https://www.dfo-mpo.gc.ca/fisheries-peches.html,Ownership and usage of content provided on this site https://www.dfo-mpo.gc.ca/terms-conditions-avis-eng.htm
can_dfo_scfa,dfo,yes,TRUE,from_coordinates,na,https://inter-l01-uat.dfo-mpo.gc.ca/infoceans/en/commercial-fisheries?_ga=2.87889944.1216098965.1655908029-326548170.1650553684,Ownership and usage of content provided on this site https://www.dfo-mpo.gc.ca/terms-conditions-avis-eng.htm
can_dfo_scmu,dfo,yes,TRUE,from_coordinates,na,https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/364420.pdf,Ownership and usage of content provided on this site https://www.dfo-mpo.gc.ca/terms-conditions-avis-eng.htm
can_dfo_sfa_sca,dfo,yes,TRUE,from_coordinates,na,https://www.dfo-mpo.gc.ca/fisheries-peches/ifmp-gmp/scallop-petoncle/scallop-petoncle2015-app-1TO4-eng.html,Ownership and usage of content provided on this site https://www.dfo-mpo.gc.ca/terms-conditions-avis-eng.htm
can_dfo_sfa_shp,dfo,yes,TRUE,from_coordinates,na,https://www.dfo-mpo.gc.ca/fisheries-peches/ifmp-gmp/shrimp-crevette/shrimp-crevette-2018-002-eng.html,Ownership and usage of content provided on this site https://www.dfo-mpo.gc.ca/terms-conditions-avis-eng.htm
can_dfo_sma,dfo,yes,TRUE,from_coordinates,na,https://www.pac.dfo-mpo.gc.ca/fm-gp/shellfish-mollusques/prawn-shrimp-crevette/index-eng.html,Ownership and usage of content provided on this site https://www.dfo-mpo.gc.ca/terms-conditions-avis-eng.htm
can_dfo_spa_sca,dfo,yes,TRUE,from_coordinates,na,https://www.dfo-mpo.gc.ca/fisheries-peches/decisions/fm-2021-gp/atl-10-eng.html,Ownership and usage of content provided on this site https://www.dfo-mpo.gc.ca/terms-conditions-avis-eng.htm
can_dfo_ufa,dfo,yes,TRUE,from_coordinates,na,https://www.dfo-mpo.gc.ca/fisheries-peches.html,Ownership and usage of content provided on this site https://www.dfo-mpo.gc.ca/terms-conditions-avis-eng.htm
can_mnrf_mz,mnrf,yes,TRUE,from_coordinates,na,geohub.lio.gov.on.ca,"The King's Printer for Ontario holds copyright in Ontario statutes, regulations and judicial decisions. The King's Printer permits any person to reproduce the text and images contained in the statutes, regulations and judicial decisions without seeking permission and without charge. The legal materials must be reproduced accurately, and Crown copyright in the legal materials must be acknowledged in the following form: © King's Printer for Ontario, 2024."
ccamlr_gar,ccamlr,yes,TRUE,none,Copyright - Commission for the Conservation of Antarctic Marine Living Resources 2024,https://www.ccamlr.org/en/meetings-and-publications/publications,No permission for free use without consent according with copyright https://www.ccamlr.org/en/organisation/copyright-notice
cecaf,cecaf,yes,TRUE,from_coordinates,fao_copyright,https://openknowledge.fao.org/server/api/core/bitstreams/88782f37-e7a8-4652-b56b-0690f5cbc2dd/content,FAO ownership https://www.fao.org/cecaf/ar/
chl,chl,no,FALSE,from_coordinates,na,https://www.bcn.cl/leychile/navegar?idNorma=1115064,NA
col_aunap_sz,aunap,yes,TRUE,from_coordinates,Copyright,https://www.datos.gov.co/dataset/Zonificaci-n-del-potencial-para-la-pesca-marina-ar/88y7-7cki,©Copyright 2021 - Todos los derechos reservados Gobierno de Colombia. Source map website under CC0 1.0 UNIVERSAL: https://www.datos.gov.co/dataset/Zonificaci-n-del-potencial-para-la-pesca-marina-ar/88y7-7cki/about_data
cri_incopesca_ampr,incopesca,yes,TRUE,from_coordinates,na,https://www.incopesca.go.cr/pesca/,Citation of the data source from the Ministry of Fisheries of Costa Rica: Instituto Costarricense de Pesca Y Acuicultura. https://www.incopesca.go.cr/
cub_mip_sfmz,mip,yes,TRUE,from_coordinates,na,https://www.researchgate.net/publication/322005184_Vulnerability_of_nearshore_tropical_finfish_in_Cuba_implications_for_scientific_and_management_planning/figures,"Article citacion https://www.researchgate.net/publication/322005184_Vulnerability_of_nearshore_tropical_finfish_in_Cuba_implications_for_scientific_and_management_planning. Rafael, Puga & Valle, Servando & Kritzer, Jake & Delgado, Gilma & León, M. & Giménez, Enrique & Ramos, Ibis & Moreno, Orestes & Karr, Kendra. (2018). Vulnerability of nearshore tropical finfish in Cuba: implications for scientific and management planning. Bulletin of Marine Science. 94. 10.5343/bms.2016.1127."
esp_regbio,miteco,yes,TRUE,none,CC BY 4.0,https://www.mapama.gob.es/ide/metadatos/srv/spa/catalog.search#/metadata/3e0139de-e91c-456c-b616-e20975e6a6c6,CC BY 4.0 Licence. Source: Ministerio para la Transición Ecológica y el Reto Demográfico. Sin limitaciones al acceso público
fao,FAO,yes,TRUE,none,fao_copyright,https://www.fao.org/fishery/geonetwork/srv/eng/catalog.search#/metadata/ac02a460-da52-11dc-9d70-0017f293bd28,FAO ownership https://www.fao.org/fishery/geoserver/web/wicket/bookmarkable/org.geoserver.web.demo.MapPreviewPage?0&filter=false
gbr_cefas_cfu,cefas,yes,TRUE,from_coordinates,UK Open Government Licence v3.0,https://www.gov.uk/government/publications/crab-and-lobster-fisheries-management-plan-fmp-for-english-waters/crab-and-lobster-fisheries-management-plan#:~:text=Figure%204%20description%3A%20a%20map,UK Open Government Licence v3.0 information available at https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
gbr_cefas_lfu,cefas,yes,TRUE,from_coordinates,UK Open Government Licence v3.0,https://www.gov.uk/government/publications/crab-and-lobster-fisheries-management-plan-fmp-for-english-waters/crab-and-lobster-fisheries-management-plan#:~:text=Figure%204%20description%3A%20a%20map,UK Open Government Licence v3.0 information available at https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
gbr_cefas_sce,cefas,yes,TRUE,from_coordinates,UK Open Government Licence v3.0,https://assets.publishing.service.gov.uk/media/623af945d3bf7f6ab4fb9527/SCE_assessment_report_2021_main_v3_accessibility_checked.pdf,Article citacion https://assets.publishing.service.gov.uk/media/623af945d3bf7f6ab4fb9527/SCE_assessment_report_2021_main_v3_accessibility_checked.pdf. Andrew Lawler and Nikolai Nawri. (2022). Assessment of king scallop stock status for selected waters around the English coast 2020/2021. CEFAS. UK Open Government Licence v3.0 information available at https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
